Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_23,Class_24,Class_90,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0,42100,1,G5040,39.0370264,1038,,10,27131,Block 1038,R,S,-75.5845485,100010421001038,00b40000000000001e1d,
0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0,43400,1,G5040,38.9957334,1038,,10,57475,Block 1038,R,S,-75.4890352,100010434001038,00b40000000000002192,
0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.23,0,42801,1,G5040,38.9771139,1038,,10,558038,Block 1038,R,S,-75.6758037,100010428011038,00b400000000000022bc,
0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0,42207,1,G5040,39.063734,1038,,10,12622,Block 1038,R,S,-75.4743317,100010422071038,00b40000000000002329,
0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0,43100,1,G5040,38.9019854,1038,,10,272361,Block 1038,R,S,-75.6799473,100010431001038,00b40000000000002364,
0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.09,0,42900,1,G5040,38.8438002,1038,,10,611391,Block 1038,R,S,-75.5627476,100010429001038,00b4000000000000271a,
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0,42802,1,G5040,39.0138328,1038,,10,61172,Block 1038,R,S,-75.5683766,100010428021038,00b40000000000002c56,
0.0,0.0,2.21,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.74,0.0,0.0,3.45,0,42801,1,G5040,38.972124,1039,,10,5735777,Block 1039,R,S,-75.6570203,100010428011039,00b400000000000010cd,
0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.0,0.0,0.0,0,42802,1,G5040,39.0123655,1039,,10,56919,Block 1039,R,S,-75.572078,100010428021039,00b400000000000011e6,
0.0,0.0,0.64,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.14,0,43100,1,G5040,38.9024307,1039,,10,841886,Block 1039,R,S,-75.6874602,100010431001039,00b400000000000014e9,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,43000,1,G5040,38.9206438,1039,,10,8542,Block 1039,R,S,-75.5818581,100010430001039,00b400000000000015b9,
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.04,0,43400,1,G5040,38.9990305,1039,,10,67014,Block 1039,R,S,-75.4874758,100010434001039,00b4000000000000192c,
0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.28,0,42900,1,G5040,38.8380157,1039,,10,413107,Block 1039,R,S,-75.5645106,100010429001039,00b40000000000001e3e,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.32,0.07,0.1,0.06,0,42500,1,G5040,38.9199243,1039,,10,319789,Block 1039,R,S,-75.4241624,100010425001039,00b40000000000002341,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42100,1,G5040,39.0409362,1039,,10,5137,Block 1039,R,S,-75.5588914,100010421001039,00b400000000000024e4,
0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0,42801,1,G5040,38.9846679,1040,,10,82374,Block 1040,R,S,-75.6622565,100010428011040,00b40000000000001223,
0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.25,0,42900,1,G5040,38.8388366,1040,,10,759349,Block 1040,R,S,-75.5729892,100010429001040,00b4000000000000130b,
